"Vertical_Segment","Lithography","nb_of_Cores","nb_of_Threads","Processor_Base_Frequency","TDP","Max_Memory_Size","Max_Memory_Bandwidth","Max_nb_of_PCI_Express_Lanes"
"Mobile",14,2,4,1300,4.5,16,29.8,10
"Mobile",14,4,8,1600,15,32,34.1,12
"Mobile",14,4,8,1800,15,32,34.1,12
"Desktop",32,4,8,3600,130,64.23,51.2,40
"Mobile",14,2,4,1200,4.5,16,29.8,10
"Mobile",14,2,2,1500,15,16,25.6,12
"Mobile",22,2,2,1460,4.3,4,25.6,4
"Desktop",22,2,2,2410,10,8,25.6,4
"Desktop",22,2,2,2600,55,32,21,16
"Mobile",90,1,4,2800,88,32,25.6,16
"Mobile",22,2,2,2400,35,32,25.6,1
"Mobile",90,1,4,1300,5.5,32,25.6,16
"Mobile",14,2,4,1900,15,16,25.6,12
"Mobile",14,2,4,2100,15,32,34.1,10
"Mobile",14,4,4,1600,6,8,25.6,4
"Embedded",32,1,1,32,47,32,25.6,16
"Desktop",22,4,4,2410,10,8,25.6,4
"Desktop",22,4,4,2410,10,8,21.3,4
"Desktop",14,4,4,1600,6.5,8,25.6,4
"Desktop",14,4,4,1500,10,8,25.6,6
"Mobile",14,4,4,1600,6,8,25.6,4
"Mobile",22,4,4,2000,7.5,8,25.6,4
"Mobile",22,4,4,2170,7.5,8,25.6,4
"Mobile",22,4,4,2160,7.5,8,25.6,4
"Mobile",22,4,4,2160,7.5,8,21.32,4
"Mobile",14,4,4,1100,6,8,25.6,6
"Mobile",14,2,4,1500,6,16,29.8,10
"Mobile",14,2,4,1600,6,16,29.8,10
"Mobile",14,2,4,1500,6,16,29.8,10
"Mobile",14,2,4,2300,15,32,34.1,10
"Mobile",14,2,2,1900,15,16,25.6,12
"Mobile",22,2,2,1200,11.5,16,25.6,12
"Mobile",22,2,2,2400,37,32,25.6,16
"Mobile",22,2,2,1200,11.5,16,25.6,12
"Mobile",22,2,2,1700,15,16,25.6,10
"Mobile",22,2,2,1700,15,16,25.6,10
"Mobile",22,2,2,2300,37,32,25.6,16
"Mobile",22,2,2,1800,17,32,25.6,1
